id,odasalon,brut,net,kati,yasi,isinma,esyali,kredi,tapu,banyo,fiyat,ilce
17,5 + 1,260.0,240 ,2. Kat,35 Yaşında,Kat Kaloriferi,Eşyalı,Uygun,Kat Mülkiyeti,2,3.900.000 TL,Adalar
18,3 + 1,140.0,130 ,Bahçe Katı,20 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.200.000 TL,Adalar
19,3 + 1,105.0,95 ,2. Kat,21 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,1.515.000 TL,Adalar
20,2 + 1,90.0,80 ,3. Kat,35 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,620.000 TL,Adalar
21,3 + 1,133.0,120 ,Çatı Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,720.000 TL,Adalar
22,3 + 1,130.0,120 ,3. Kat,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.400.000 TL,Adalar
23,6 + 2,240.0,220 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,1.200.000 TL,Adalar
24,3 + 1,150.0,120 ,2. Kat,50 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.600.000 TL,Adalar
25,2 + 1,90.0,75 ,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,470.000 TL,Adalar
26,3 + 1,140.0,130 ,1. Kat,20 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,2.400.000 TL,Adalar
27,3 + 1,125.0,120 ,1. Kat,30 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.800.000 TL,Adalar
28,3 + 1,160.0,155 ,2. Kat,20 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,3,3.500.000 TL,Adalar
29,3 + 1,142.0,130 ,2. Kat,25 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,1.350.000 TL,Adalar
30,2 + 1,95.0,75 ,Ara Kat,29 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,500.000 TL,Adalar
31,3 + 1,160.0,140 ,2. Kat,25 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.200.000 TL,Adalar
32,3 + 1,140.0,120 ,En Üst Kat,20 Yaşında,Belirtilmemiş,Eşyalı Değil,Bilinmiyor,Kat Mülkiyeti,2,2.000.000 TL,Adalar
33,3 + 1,120.0,110 ,3. Kat,31 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,720.000 TL,Adalar
34,3 + 1,170.0,160 ,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.650.000 TL,Adalar
35,3 + 1,155.0,145 ,5. Kat,21 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.450.000 TL,Adalar
36,4 + 1,120.0,100 ,3. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.180.000 TL,Adalar
37,1 + 3,125.0,115 ,4. Kat,50 Yaşında,Klima,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,2.250.000 TL,Adalar
38,3 + 1,160.0,140 ,En Üst Kat,32 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,1.100.000 TL,Adalar
39,2 + 1,90.0,75 ,Ara Kat,29 Yaşında,Isıtma Yok,Eşyalı,Uygun,Kat Mülkiyeti,1,500.000 TL,Adalar
40,3 + 1,250.0,220 ,Bahçe Katı,25 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.500.000 TL,Adalar
41,2 + 1,90.0,80 ,Bahçe Katı,29 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,420.000 TL,Adalar
42,3 + 1,100.0,90 ,Yüksek Giriş,50 Yaşında,Soba,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.450.000 TL,Adalar
43,3 + 1,120.0,Belirtilmemiş,3. Kat,25 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.200.000 TL,Adalar
44,5 + 2,300.0,200 ,3. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,3.500.000 TL,Adalar
45,6 + 2,280.0,240 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,1.200.000 TL,Adalar
46,3 + 1,120.0,100 ,En Üst Kat,35 Yaşında,Belirtilmemiş,Eşyalı,Uygun,Kat Mülkiyeti,1,2.400.000 TL,Adalar
47,3 + 1,100.0,90 ,Bahçe Katı,30 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,650.000 TL,Adalar
48,2 + 1,70.0,65 ,Bahçe Katı,29 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.100.000 TL,Adalar
49,2 + 1,90.0,72 ,Bahçe Katı,30 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,580.000 TL,Adalar
50,3 + 1,120.0,110 ,2. Kat,17 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,720.000 TL,Adalar
51,4 + 1,150.0,150 ,2. Kat,15 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,1.750.000 TL,Adalar
52,3 + 1,130.0,120 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,720.000 TL,Adalar
53,3 + 1,135.0,120 ,Çatı Katı,21 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,720.000 TL,Adalar
54,5 + 1,210.0,190 ,2. Kat,35 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.000.000 TL,Adalar
55,4 + 1,144.0,135 ,En Üst Kat,26 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,900.000 TL,Adalar
56,3 + 1,120.0,100 ,Bahçe Katı,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,580.000 TL,Adalar
57,2 + 1,90.0,89 ,2. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,750.000 TL,Adalar
58,3 + 1,140.0,155 ,Bahçe Katı,30 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,850.000 TL,Adalar
59,4 + 1,140.0,120 ,3. Kat,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,1.500.000 TL,Adalar
60,3 + 1,130.0,120 ,Bahçe Katı,25 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,750.000 TL,Adalar
61,4 + 1,180.0,170 ,Bahçe Katı,30 Yaşında,Klima,Eşyalı,Uygun,Kat Mülkiyeti,4,1.200.000 TL,Adalar
62,2 + 1,160.0,115 ,Giriş Katı,30 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.600.000 TL,Adalar
63,4 + 1,150.0,130 ,Bahçe Katı,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,1.190.000 TL,Adalar
64,3 + 1,135.0,125 ,3. Kat,30 Yaşında,Klima,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.000.000 TL,Adalar
65,3 + 1,150.0,140 ,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.650.000 TL,Adalar
66,3 + 1,120.0,115 ,2. Kat,28 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,2.000.000 TL,Adalar
67,3 + 1,130.0,125 ,2. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.600.000 TL,Adalar
68,3 + 1,120.0,115 ,2. Kat,30 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.500.000 TL,Adalar
69,2 + 1,90.0,75 ,2. Kat,30 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,395.000 TL,Adalar
70,3 + 1,125.0,120 ,2. Kat,26 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat İrtifakı,2,1.620.000 TL,Adalar
71,4 + 1,200.0,170 ,2. Kat,15 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,1.800.000 TL,Adalar
72,3 + 1,145.0,130 ,2. Kat,19 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.100.000 TL,Adalar
73,2 + 1,90.0,75 ,2. Kat,29 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,500.000 TL,Adalar
74,2 + 1,110.0,100 ,2. Kat,25 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,850.000 TL,Adalar
75,5 + 2,180.0,160 ,3. Kat,30 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.600.000 TL,Adalar
76,3 + 1,100.0,90 ,3. Kat,25 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,900.000 TL,Adalar
77,2 + 1,80.0,70 ,3. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,600.000 TL,Adalar
78,4 + 1,220.0,180 ,3. Kat,25 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.950.000 TL,Adalar
79,4 + 1,160.0,155 ,1. Kat,23 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,3,1.300.000 TL,Adalar
80,2 + 1,100.0,95 ,2. Kat,27 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,600.000 TL,Adalar
81,4 + 1,150.0,140 ,3. Kat,21 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,800.000 TL,Adalar
82,1 + 1,60.0,Belirtilmemiş,Bodrum,48 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,320.000 TL,Adalar
83,2 + 1,130.0,110 ,Bodrum,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.700.000 TL,Adalar
84,4 + 1,160.0,140 ,Yüksek Giriş,15 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,880.000 TL,Adalar
85,4 + 1,140.0,120 ,Yüksek Giriş,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,1.650.000 TL,Adalar
86,2 + 1,75.0,70 ,Yüksek Giriş,25 Yaşında,Belirtilmemiş,Eşyalı,Uygun,Kat Mülkiyeti,1,425.000 TL,Adalar
87,2 + 1,60.0,50 ,Yüksek Giriş,45 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,450.000 TL,Adalar
88,3 + 1,160.0,140 ,Zemin,25 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.300.000 TL,Adalar
89,3 + 2,160.0,150 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,650.000 TL,Adalar
90,3 + 1,90.0,Belirtilmemiş,Bahçe Katı,40 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.200.000 TL,Adalar
91,3 + 1,150.0,140 ,3. Kat,29 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.000.000 TL,Adalar
92,1 + 1,55.0,45 ,Yüksek Giriş,32 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat İrtifakı,1,310.000 TL,Adalar
93,3 + 2,135.0,130 ,3. Kat,25 Yaşında,Kat Kaloriferi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.300.000 TL,Adalar
94,3 + 1,100.0,90 ,Bahçe Katı,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,600.000 TL,Adalar
95,3 + 1,135.0,120 ,Ara Kat,27 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,700.000 TL,Adalar
96,3 + 1,145.0,130 ,2. Kat,19 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.100.000 TL,Adalar
97,2 + 1,90.0,75 ,2. Kat,29 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,500.000 TL,Adalar
98,2 + 1,110.0,100 ,2. Kat,25 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,850.000 TL,Adalar
99,5 + 2,180.0,160 ,3. Kat,30 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,1.600.000 TL,Adalar
120,2 + 1,95.0,90 ,Zemin,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,230.000 TL,Arnavutköy
121,3 + 2,185.0,175 ,En Üst Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,295.000 TL,Arnavutköy
122,3 + 1,130.0,120 ,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,350.000 TL,Arnavutköy
123,2 + 1,135.0,129 ,Ara Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,390.000 TL,Arnavutköy
124,4 + 2,185.0,180 ,En Üst Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,395.000 TL,Arnavutköy
125,3 + 1,130.0,115 ,4. Kat,13 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,318.000 TL,Arnavutköy
126,2 + 1,100.0,95 ,1. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,400.000 TL,Arnavutköy
127,3 + 1,140.0,130 ,Ara Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,415.000 TL,Arnavutköy
128,2 + 1,95.0,90 ,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,235.000 TL,Arnavutköy
129,2 + 1,100.0,95 ,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,260.000 TL,Arnavutköy
130,2 + 1,130.0,123 ,Ara Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,370.000 TL,Arnavutköy
131,3 + 1,250.0,210 ,Ara Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,235.000 TL,Arnavutköy
132,4 + 1,210.0,140 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,415.000 TL,Arnavutköy
133,3 + 2,180.0,170 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,325.000 TL,Arnavutköy
134,2 + 1,85.0,80 ,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,200.000 TL,Arnavutköy
135,3 + 1,140.0,115 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,240.000 TL,Arnavutköy
136,2 + 1,115.0,110 ,2. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun değil,Kat Mülkiyeti,1,185.000 TL,Arnavutköy
137,3 + 1,125.0,100 ,8. Kat,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,427.500 TL,Arnavutköy
138,4 + 2,200.0,195 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,495.000 TL,Arnavutköy
139,2 + 1,107.0,95 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,380.000 TL,Arnavutköy
140,3 + 1,125.0,120 ,2. Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,352.500 TL,Arnavutköy
141,2 + 1,105.0,100 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,3,310.000 TL,Arnavutköy
142,2 + 1,85.0,80 ,En Üst Kat,4 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,229.000 TL,Arnavutköy
143,2 + 1,75.0,72 ,En Üst Kat,11 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,210.000 TL,Arnavutköy
144,3 + 1,125.0,118 ,5. Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,320.000 TL,Arnavutköy
145,2 + 1,114.0,102 ,2. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,475.000 TL,Arnavutköy
146,2 + 1,80.0,70 ,2. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,190.000 TL,Arnavutköy
147,2 + 1,88.0,62 ,12. Kat,1 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,270.000 TL,Arnavutköy
148,2 + 1,100.0,90 ,Ara Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,360.000 TL,Arnavutköy
149,2 + 1,115.0,100 ,8. Kat,3 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,330.000 TL,Arnavutköy
150,3 + 1,130.0,125 ,1. Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,275.000 TL,Arnavutköy
151,2 + 1,110.0,100 ,En Üst Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,230.000 TL,Arnavutköy
152,3 + 1,125.0,120 ,2. Kat,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,305.000 TL,Arnavutköy
153,3 + 2,135.0,130 ,6. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,590.000 TL,Arnavutköy
154,2 + 1,85.0,75 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,370.000 TL,Arnavutköy
155,2 + 1,75.0,53 ,12. Kat,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,188.500 TL,Arnavutköy
156,2 + 1,75.0,73 ,12. Kat,11 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,175.000 TL,Arnavutköy
157,3 + 1,125.0,120 ,1. Kat,4 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,350.000 TL,Arnavutköy
158,2 + 1,95.0,90 ,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,265.000 TL,Arnavutköy
159,2 + 1,95.0,85 ,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,250.000 TL,Arnavutköy
160,2 + 1,100.0,95 ,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,330.000 TL,Arnavutköy
161,2 + 1,90.0,80 ,2. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,400.000 TL,Arnavutköy
162,2 + 1,100.0,90 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,320.000 TL,Arnavutköy
163,3 + 1,120.0,118 ,5. Kat,11 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,310.000 TL,Arnavutköy
164,3 + 1,146.0,135 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,475.000 TL,Arnavutköy
165,2 + 1,120.0,105 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,220.000 TL,Arnavutköy
166,2 + 1,88.0,85 ,Bahçe Katı,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,145.000 TL,Arnavutköy
167,2 + 1,95.0,90 ,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,235.000 TL,Arnavutköy
168,3 + 1,140.0,133 ,5. Kat,1 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat İrtifakı,2,385.000 TL,Arnavutköy
169,4 + 2,200.0,190 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,395.000 TL,Arnavutköy
170,3 + 1,105.0,103 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,275.000 TL,Arnavutköy
171,2 + 1,95.0,73 ,2. Kat,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,268.500 TL,Arnavutköy
172,1 + 1,80.0,75 ,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,190.000 TL,Arnavutköy
173,2 + 2,129.0,115 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,390.000 TL,Arnavutköy
174,2 + 1,129.0,115 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,390.000 TL,Arnavutköy
175,3 + 1,135.0,133 ,2. Kat,11 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,320.000 TL,Arnavutköy
176,3 + 1,152.0,140 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,495.000 TL,Arnavutköy
177,2 + 1,100.0,95 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,300.000 TL,Arnavutköy
178,6 + 2,250.0,240 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,4,520.000 TL,Arnavutköy
179,2 + 1,95.0,90 ,1. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,260.000 TL,Arnavutköy
180,2 + 1,90.0,85 ,Yüksek Giriş,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,192.500 TL,Arnavutköy
181,2 + 1,90.0,85 ,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,215.000 TL,Arnavutköy
182,4 + 2,200.0,190 ,3. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,365.000 TL,Arnavutköy
183,3 + 1,120.0,100 ,2. Kat,12 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,322.500 TL,Arnavutköy
184,4 + 2,180.0,180 ,Çatı Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,390.000 TL,Arnavutköy
185,2 + 1,100.0,90 ,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,280.000 TL,Arnavutköy
186,1 + 1,60.0,52 ,Ara Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,385.000 TL,Arnavutköy
187,2 + 1,130.0,120 ,Giriş Katı,8 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.065.000 TL,Arnavutköy
188,3 + 1,150.0,140 ,Giriş Katı,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,295.000 TL,Arnavutköy
189,2 + 1,105.0,95 ,Giriş Katı,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,165.000 TL,Arnavutköy
190,3 + 1,140.0,130 ,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,410.000 TL,Arnavutköy
191,2 + 1,95.0,88 ,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,185.000 TL,Arnavutköy
192,2 + 1,90.0,80 ,Giriş Katı,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,182.000 TL,Arnavutköy
193,2 + 2,140.0,130 ,Bodrum ve Zemin,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,209.000 TL,Arnavutköy
194,4 + 1,140.0,130 ,Bodrum,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,250.000 TL,Arnavutköy
